candle_begin_time,open,high,low,close,volume
2018/9/27 19:00,6501,6723.18,6490.75,6643.92,5680.009891
2018/9/27 20:00,6643.92,6740,6635,6677.15,6215.316588
2018/9/27 21:00,6679.49,6709.25,6675.24,6705.98,2181.807115
2018/9/27 22:00,6707,6710.59,6653.21,6660.17,2089.982775
2018/9/27 23:00,6662.84,6685.57,6661.97,6676.31,1964.243471
2018/9/28 0:00,6672.98,6700,6672.98,6689.5,297.2710467
2018/9/28 1:00,6689.04,6698.53,6670,6695.71,310.1529702
2018/9/28 2:00,6697.59,6715.36,6683,6683,246.1930938
2018/9/28 3:00,6688.95,6694.34,6672.6,6689.83,136.4683873
2018/9/28 4:00,6691.19,6706.39,6676.85,6696.81,354.0570677
2018/9/28 5:00,6701.77,6705,6692.87,6702.73,233.002736
2018/9/28 6:00,6702.73,6774.24,6702.73,6725.18,931.8808861
2018/9/28 7:00,6729.32,6790.68,6729.32,6759.7,1390.452044
2018/9/28 8:00,6759.7,6763.99,6709.01,6719.21,3387.034173
2018/9/28 9:00,6719.21,6721.1,6575.19,6637.51,8269.156079
2018/9/28 10:00,6637.24,6644.99,6618,6629.55,1738.432766
2018/9/28 11:00,6630,6653,6630,6641.3,1779.018412
2018/9/28 12:00,6641.3,6645.57,6570.01,6594.76,3719.209754
2018/9/28 13:00,6594.2,6644.66,6572.99,6633.71,2375.409365
2018/9/28 14:00,6633.01,6667.81,6614.96,6642.94,2333.858028
2018/9/28 15:00,6641.56,6660.29,6617.82,6646.56,1692.625511
2018/9/28 16:00,6646.07,6647.99,6625.01,6644.69,1185.381121
2018/9/28 17:00,6644.83,6661.26,6640,6642.19,935.7176077
2018/9/28 18:00,6639.92,6645.01,6628.94,6640.32,720.9498212
2018/9/28 19:00,6639.9,6680,6536.99,6670.22,5317.886423
2018/9/28 20:00,6669.61,6674.32,6608.6,6636.57,1342.637679
2018/9/28 21:00,6636.37,6645.82,6608.4,6638.94,969.4088278
2018/9/28 22:00,6633.53,6635.39,6600.39,6612.53,925.0756852
2018/9/28 23:00,6612.42,6625.9,6605.96,6612.81,773.6927054
2018/9/29 0:00,6611.84,6611.84,6575.53,6608,1902.123535
2018/9/29 1:00,6607.61,6607.74,6443.43,6472.76,5644.763736
2018/9/29 2:00,6473.26,6509.21,6471.9,6483.9,2265.061863
2018/9/29 3:00,6483.91,6495.87,6470.81,6483.15,1483.177401
2018/9/29 4:00,6486.83,6495.23,6468.87,6489.97,1711.681311
2018/9/29 5:00,6487.58,6495.96,6478.51,6483.37,1133.27652
2018/9/29 6:00,6485.99,6505,6460,6500.48,2252.09325
2018/9/29 7:00,6500,6524.05,6490.87,6523,2152.547829
2018/9/29 8:00,6523,6544.76,6520.01,6523,2933.492543
2018/9/29 9:00,6523,6572,6523,6531.1,2922.002079
2018/9/29 10:00,6530.51,6554.93,6528.85,6541.02,1765.380136
2018/9/29 11:00,6543.34,6611.35,6535.15,6582,2839.858933
2018/9/29 12:00,6579.73,6588.76,6556.68,6569.72,2036.630065
2018/9/29 13:00,6569.72,6577.51,6539.29,6551.15,1076.296418
2018/9/29 14:00,6551,6558.39,6521.18,6538.41,1281.695397
2018/9/29 15:00,6539.4,6586.26,6539.4,6571.08,2224.71854
2018/9/29 16:00,6570.84,6580,6540.49,6543.48,1306.532792
2018/9/29 17:00,6544.86,6584.81,6544.49,6571.95,1027.965909
2018/9/29 18:00,6572.5,6590,6567.88,6578.34,1153.615478
2018/9/29 19:00,6578.24,6589.43,6574.17,6577.02,749.1834566
2018/9/29 20:00,6579.14,6596,6572.9,6581.66,971.1046192
2018/9/29 21:00,6582.55,6585.29,6571.79,6583.67,688.2944295
2018/9/29 22:00,6583.51,6603.03,6579.68,6596.32,944.3044798
2018/9/29 23:00,6596.68,6617.11,6572.51,6583,1917.728519
2018/9/30 0:00,6582.86,6582.86,6547.15,6569.74,1454.092339
2018/9/30 1:00,6570,6593.98,6565.56,6582.34,930.6601759
2018/9/30 2:00,6581.37,6589.54,6560.01,6564.22,1020.242732
2018/9/30 3:00,6564.25,6577.84,6558,6569.49,872.9705562
2018/9/30 4:00,6567.31,6568.84,6544.5,6546.56,1009.3845
2018/9/30 5:00,6546.04,6570.68,6543.53,6561.18,1062.889539
2018/9/30 6:00,6561.79,6583,6561.79,6573.68,939.3721578
2018/9/30 7:00,6575.49,6585,6564.98,6573.95,881.7368108
2018/9/30 8:00,6573.95,6581.11,6570.82,6574.48,863.1798864
2018/9/30 9:00,6576.4,6587.25,6569.03,6577.03,806.7248488
2018/9/30 10:00,6577.03,6648,6573.82,6624.68,2256.790795
2018/9/30 11:00,6623.19,6641.98,6611.09,6615.01,1297.131092
2018/9/30 12:00,6615,6627.01,6608.34,6621.27,924.9242368
2018/9/30 13:00,6621.27,6631.27,6616.5,6623.81,998.2724599
2018/9/30 14:00,6623.82,6644.7,6620,6635,1078.984909
2018/9/30 15:00,6635,6635.68,6573.67,6592.41,1899.561913
2018/9/30 16:00,6591.41,6610.91,6579.17,6607.17,991.662136
2018/9/30 17:00,6607.17,6615.53,6593.3,6600.78,805.5764426
2018/9/30 18:00,6600.02,6616.48,6600.02,6601.72,501.3124143
2018/9/30 19:00,6601.72,6611.5,6585.01,6585.04,575.2798634
2018/9/30 20:00,6585.04,6585.61,6516.52,6568.62,2428.998864
2018/9/30 21:00,6568.62,6571.38,6550.33,6569.93,592.8350296
2018/9/30 22:00,6570,6624.99,6564.81,6619.49,1096.596515
2018/9/30 23:00,6617.47,6630,6593.66,6603.18,1466.273793
2018/10/1 0:00,6603.82,6627.92,6603.17,6621.74,1508.690225
2018/10/1 1:00,6622.64,6636.11,6600.43,6611.84,1425.526388
2018/10/1 2:00,6614.15,6620.69,6608.53,6615.62,764.1158789
2018/10/1 3:00,6616.57,6630.37,6612.71,6619.93,908.9365732
2018/10/1 4:00,6618.06,6630.28,6592.84,6607.48,894.7756802
2018/10/1 5:00,6609.57,6612.22,6590.01,6598.87,980.9963624
2018/10/1 6:00,6598.7,6613.96,6579.55,6602.58,1177.075442
2018/10/1 7:00,6602.96,6606,6582.56,6584.63,573.1221911
2018/10/1 8:00,6581.61,6611.62,6577.17,6611.62,1144.473959
2018/10/1 9:00,6611.5,6619.84,6593.22,6597,765.8698141
2018/10/1 10:00,6597,6607.57,6566.24,6567.18,1243.440051
2018/10/1 11:00,6569.12,6590,6548,6575,2332.405905
2018/10/1 12:00,6574.99,6592.65,6555.5,6587,1275.009765
2018/10/1 13:00,6587,6594.55,6535,6554.46,1848.147988
2018/10/1 14:00,6551.95,6561.04,6489.33,6547.55,3979.077781
2018/10/1 15:00,6548.41,6556.32,6538.5,6546.63,1019.966328
2018/10/1 16:00,6546.59,6580,6525.87,6568.24,1353.236435
2018/10/1 17:00,6569.51,6573.33,6558.32,6567,860.0750705
2018/10/1 18:00,6565.61,6578.49,6552.58,6568.39,943.4545188
2018/10/1 19:00,6569.13,6575.12,6539.9,6563.78,1173.722073
2018/10/1 20:00,6561.21,6574.28,6553.55,6560.44,622.2793934
2018/10/1 21:00,6557,6616.26,6557,6578.77,1378.82403
2018/10/1 22:00,6578.54,6588.08,6568.03,6575.58,537.70273
2018/10/1 23:00,6575.12,6586.19,6551.84,6580.84,1569.475486
2018/10/2 0:00,6579.32,6585.17,6560.65,6560.66,1075.371021
2018/10/2 1:00,6562.18,6609.41,6556.08,6581.41,1609.635683
2018/10/2 2:00,6581.42,6589.99,6575.79,6587.77,855.470908
2018/10/2 3:00,6588.91,6590.93,6574.72,6575.94,656.137425
2018/10/2 4:00,6574.72,6587.54,6573.73,6581.58,611.2456211
2018/10/2 5:00,6582.6,6590.93,6581.09,6585.58,609.1125566
2018/10/2 6:00,6587.35,6587.55,6562.26,6567.87,1058.289288
2018/10/2 7:00,6570.52,6577.6,6560.2,6576.13,1112.974192
2018/10/2 8:00,6576,6587.44,6565.44,6569.03,1038.423478
2018/10/2 9:00,6568.77,6574.39,6549,6552.21,1036.776313
2018/10/2 10:00,6552.17,6567.5,6530.59,6558,1180.574587
2018/10/2 11:00,6561.68,6563.5,6544.54,6546.04,751.6987228
2018/10/2 12:00,6545.31,6578,6531.4,6557.21,1784.650904
2018/10/2 13:00,6556.17,6563.01,6540.49,6555.45,1026.182943
2018/10/2 14:00,6557.93,6560.56,6506.02,6531.18,2253.980847
2018/10/2 15:00,6529.54,6541.7,6515.33,6537.21,1308.868576
2018/10/2 16:00,6535.28,6538.27,6491.74,6511.38,2134.172107
2018/10/2 17:00,6510.99,6524.11,6454.67,6517.63,2910.212122
2018/10/2 18:00,6517.63,6549.43,6511.42,6549.41,908.6357414
2018/10/2 19:00,6546,6562.88,6530.85,6538.88,864.3136207
2018/10/2 20:00,6538.88,6555.33,6528.46,6536.69,717.8580834
2018/10/2 21:00,6537.55,6544.75,6529.26,6539.37,679.1601388
2018/10/2 22:00,6540,6551.74,6538.89,6544.35,567.8793755
2018/10/2 23:00,6544.07,6545.53,6499.78,6511.92,1372.294586
2018/10/3 0:00,6510.73,6521.19,6494.16,6513.51,1521.599704
2018/10/3 1:00,6513.51,6517.02,6488,6503.27,1610.168084
2018/10/3 2:00,6502.63,6508.72,6460,6477.99,2124.032267
2018/10/3 3:00,6477.99,6479.15,6400,6435.02,3545.340563
2018/10/3 4:00,6432.53,6446.91,6414.1,6434.01,1520.497445
2018/10/3 5:00,6431.91,6448.84,6429.59,6437.87,961.9755328
2018/10/3 6:00,6438.55,6444.88,6419.66,6440,1228.754304
2018/10/3 7:00,6440.09,6447.22,6427.28,6428.22,1618.617882
2018/10/3 8:00,6429.99,6439.67,6416.01,6428.26,1132.540429
2018/10/3 9:00,6430.07,6444.44,6426.07,6441.55,1004.797244
2018/10/3 10:00,6442,6483.9,6441.3,6462.1,1848.12704
2018/10/3 11:00,6464.53,6479.01,6456.07,6465.42,1270.917867
2018/10/3 12:00,6467.71,6467.71,6443.65,6444.49,860.8966638
2018/10/3 13:00,6443.56,6466.6,6432.53,6455,1467.100122
2018/10/3 14:00,6456.92,6511.61,6448.52,6490.02,2782.586164
2018/10/3 15:00,6493.17,6503.91,6474.9,6484.98,1599.377894
2018/10/3 16:00,6484.86,6496,6470.26,6483.4,1027.025612
2018/10/3 17:00,6483.4,6499.44,6476.01,6479.24,890.4317138
2018/10/3 18:00,6479.25,6480.46,6440.67,6459.6,1464.893494
2018/10/3 19:00,6459.59,6462.88,6428.58,6447.5,1371.876457
2018/10/3 20:00,6447.47,6462.25,6437,6450.03,969.5229128
2018/10/3 21:00,6450.04,6465.52,6429.95,6433.27,874.3406547
2018/10/3 22:00,6431.34,6455.57,6426.29,6455.57,1072.478326
2018/10/3 23:00,6456.75,6500.57,6454.32,6478,1542.163982
2018/10/4 0:00,6477.42,6495.87,6464.76,6489.64,1474.29191
2018/10/4 1:00,6488.12,6610,6488.11,6564.33,6258.559514
2018/10/4 2:00,6566.1,6577.01,6558.1,6572.5,1752.48286
2018/10/4 3:00,6572.63,6581.78,6560.25,6563.25,1250.772686
2018/10/4 4:00,6563.74,6580.49,6563.74,6572.95,1019.612173
